"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
"23","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is greatest?","7,725","2,830","2,778","6,596","25","1"
"24","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is greatest?","7,221","5,775","9,485","4,808","25","1"
"25","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is greatest?","8,894","4,445","1,066","1,101","25","1"
"26","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is least?","2,545","5,106","4,053","5,632","25","1"
"27","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is least?","9,735","8,278","4,838","7,632","25","1"
"28","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is least?","4,569","3,512","8,480","9,481","25","1"
"29","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is least?","3,721","1,711","5,961","5,276","25","1"
"30","Concept: Comparing numbers means deciding which has the greatest or least value. Question: Which number is least?","4,697","5,152","4,768","4,781","25","1"
"31","Concept: Rounding to the nearest 10 means finding the closest multiple of 10. Question: What is 971 rounded to the nearest 10?","980","970","960","971","25","2"
"32","Concept: Rounding to the nearest 10 means finding the closest multiple of 10. Question: What is 851 rounded to the nearest 10?","840","850","860","851","25","2"
"33","Concept: Rounding to the nearest 10 means finding the closest multiple of 10. Question: What is 688 rounded to the nearest 10?","690","700","680","688","25","1"
"34","Concept: Rounding to the nearest 10 means finding the closest multiple of 10. Question: What is 520 rounded to the nearest 10?","520","510","572","530","25","1"
"35","Concept: Rounding to the nearest 10 means finding the closest multiple of 10. Question: What is 938 rounded to the nearest 10?","938","930","950","940","25","4"
"36","Concept: Rounding to the nearest 100 means finding the closest multiple of 100. Question: What is 5,966 rounded to the nearest 100?","6,000","6,100","5,900","5,970","25","1"
"37","Concept: Rounding to the nearest 100 means finding the closest multiple of 100. Question: What is 8,740 rounded to the nearest 100?","8,700","8,800","8,600","8,740","25","1"
"38","Concept: Rounding to the nearest 100 means finding the closest multiple of 100. Question: What is 6,129 rounded to the nearest 100?","6,100","6,200","6,000","6,130","25","1"
"39","Concept: Rounding to the nearest 100 means finding the closest multiple of 100. Question: What is 630 rounded to the nearest 100?","700","600","500","630","25","2"
"40","Concept: Rounding to the nearest 100 means finding the closest multiple of 100. Question: What is 2,457 rounded to the nearest 100?","2,400","2,500","2,460","2,600","25","2"
"41","Concept: A number between two multiples is greater than the smaller multiple and less than the larger multiple. Question: Which number is between 40 and 50?","56","59","48","31","25","3"
"42","Concept: A number between two multiples is greater than the smaller multiple and less than the larger multiple. Question: Which number is between 100 and 110?","118","98","106","111","25","3"
"43","Concept: A number between two multiples is greater than the smaller multiple and less than the larger multiple. Question: Which number is between 30 and 40?","37","46","22","40","25","1"
"44","Concept: A number between two multiples is greater than the smaller multiple and less than the larger multiple. Question: Which number is between 100 and 110?","119","95","104","112","25","3"
"45","Concept: A number between two multiples is greater than the smaller multiple and less than the larger multiple. Question: Which number is between 90 and 100?","86","96","100","107","25","2"
"46","Concept: A number between two multiples of 100 is greater than the smaller hundred and less than the larger hundred. Question: Which number is between 700 and 800?","637","708","894","832","25","2"
"47","Concept: A number between two multiples of 100 is greater than the smaller hundred and less than the larger hundred. Question: Which number is between 200 and 300?","388","343","268","134","25","3"
"48","Concept: A number between two multiples of 100 is greater than the smaller hundred and less than the larger hundred. Question: Which number is between 700 and 800?","864","888","647","708","25","4"
"49","Concept: A number between two multiples of 1,000 is greater than the smaller thousand and less than the larger thousand. Question: Which number is between 2,000 and 3,000?","3,502","3,676","2,961","1,409","25","3"
"50","Concept: A number between two multiples of 1,000 is greater than the smaller thousand and less than the larger thousand. Question: Which number is between 6,000 and 7,000?","7,380","6,376","7,209","5,985","25","2"
"51","Concept: Addition combines amounts to find a total. Question: A class collected 586 stickers on Monday and 271 more on Tuesday. How many stickers did the class collect in all?","847","315","867","857","35","4"
"52","Concept: Addition combines amounts to find a total. Question: A class collected 476 books on Monday and 298 more on Tuesday. How many books did the class collect in all?","178","784","774","764","35","3"
"53","Concept: Addition combines amounts to find a total. Question: A class collected 128 marbles on Monday and 237 more on Tuesday. How many marbles did the class collect in all?","355","365","375","109","35","2"
"54","Concept: Addition combines amounts to find a total. Question: A class collected 612 crayons on Monday and 188 more on Tuesday. How many crayons did the class collect in all?","424","800","810","790","35","2"
"55","Concept: Addition combines amounts to find a total. Question: A class collected 467 shells on Monday and 195 more on Tuesday. How many shells did the class collect in all?","672","652","272","662","35","4"
"56","Concept: Addition combines amounts to find a total. Question: A class collected 275 beans on Monday and 185 more on Tuesday. How many beans did the class collect in all?","450","470","460","90","35","3"
"57","Concept: Addition combines amounts to find a total. Question: A class collected 263 pencils on Monday and 210 more on Tuesday. How many pencils did the class collect in all?","483","53","473","463","35","3"
"58","Concept: Addition combines amounts to find a total. Question: A class collected 530 cards on Monday and 298 more on Tuesday. How many cards did the class collect in all?","232","818","838","828","35","4"
"59","Concept: Addition combines amounts to find a total. Question: A class collected 338 beads on Monday and 119 more on Tuesday. How many beads did the class collect in all?","447","457","467","219","35","2"
"60","Concept: Addition combines amounts to find a total. Question: A class collected 146 buttons on Monday and 198 more on Tuesday. How many buttons did the class collect in all?","344","354","52","334","35","1"
"61","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 854 tickets. Then 194 were used. How many tickets are left?","670","660","194","1,048","35","2"
"62","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 891 flowers. Then 267 were used. How many flowers are left?","634","624","1,158","267","35","2"
"63","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 754 cans. Then 165 were used. How many cans are left?","589","919","599","165","35","1"
"64","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 806 markers. Then 139 were used. How many markers are left?","945","139","667","677","35","3"
"65","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 449 blocks. Then 138 were used. How many blocks are left?","138","311","587","321","35","2"
"66","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 552 papers. Then 281 were used. How many papers are left?","833","271","298","281","35","2"
"67","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 736 toy cars. Then 185 were used. How many toy cars are left?","921","185","561","551","35","4"
"68","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 801 cookies. Then 240 were used. How many cookies are left?","571","240","1,041","561","35","4"
"69","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 588 erasers. Then 252 were used. How many erasers are left?","840","336","252","346","35","2"
"70","Concept: Subtraction finds how many are left after some are taken away. Question: A box had 668 ribbons. Then 140 were used. How many ribbons are left?","538","808","528","140","35","3"
"71","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 154 pencils. She bought 101 more and then gave away 101. How many pencils does she have now?","53","154","255","356","40","2"
"72","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 172 stickers. She found 69 more and then shared 98. How many stickers does she have now?","241","74","339","143","40","4"
"73","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 389 books. She checked out 69 more and then returned 84. How many books does she have now?","374","305","458","542","40","1"
"74","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 464 marbles. She won 104 more and then lost 44. How many marbles does she have now?","524","612","568","420","40","1"
"75","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 492 apples. She picked 58 more and then used 45. How many apples does she have now?","595","447","505","550","40","3"
"76","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 339 shells. She collected 73 more and then gave away 109. How many shells does she have now?","230","303","521","412","40","2"
"77","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 459 cards. She earned 127 more and then used 37. How many cards does she have now?","549","623","422","586","40","1"
"78","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 168 beads. She added 104 more and then dropped 79. How many beads does she have now?","193","272","351","89","40","1"
"79","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 450 buttons. She sorted 71 more and then set aside 106. How many buttons does she have now?","344","415","627","521","40","2"
"80","Concept: A two-step problem may need addition and subtraction in order. Question: Mia had 241 papers. She stacked 62 more and then recycled 59. How many papers does she have now?","362","303","182","244","40","4"
"81","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 470 + 459?","1,030","10","929","930","30","4"
"82","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 813 + 434?","380","1,247","1,340","1,240","30","4"
"83","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 697 + 742?","1,439","40","1,440","1,540","30","3"
"84","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 637 + 675?","1,320","1,312","1,420","40","30","1"
"85","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 306 + 524?","913","210","830","930","30","3"
"86","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 584 + 491?","90","1,070","1,075","1,170","30","2"
"87","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 650 + 313?","963","960","340","1,060","30","2"
"88","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 807 + 549?","1,356","1,460","260","1,360","30","4"
"89","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 832 + 435?","1,370","390","1,270","1,267","30","3"
"90","Concept: Estimating uses rounded numbers to find a close answer. Question: Which is the best estimate for 688 + 440?","1,128","1,130","250","1,230","30","2"
"91","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 3 one-dollar bills, 2 quarters, 1 dimes, 0 nickels, and 4 pennies?","$3.54","$0.10","$3.64","$3.74","35","3"
"92","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 4 one-dollar bills, 1 quarters, 3 dimes, 1 nickels, and 2 pennies?","$4.62","$0.11","$4.52","$4.72","35","1"
"93","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 2 one-dollar bills, 3 quarters, 0 dimes, 2 nickels, and 1 pennies?","$0.08","$2.96","$2.76","$2.86","35","4"
"94","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 5 one-dollar bills, 0 quarters, 2 dimes, 2 nickels, and 5 pennies?","$5.35","$5.45","$5.25","$0.14","35","1"
"95","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 1 one-dollar bills, 3 quarters, 2 dimes, 0 nickels, and 3 pennies?","$1.98","$0.09","$1.88","$2.08","35","1"
"96","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 6 one-dollar bills, 1 quarters, 1 dimes, 1 nickels, and 0 pennies?","$0.09","$6.50","$6.40","$6.30","35","3"
"97","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 2 one-dollar bills, 2 quarters, 2 dimes, 2 nickels, and 2 pennies?","$2.92","$2.72","$0.10","$2.82","35","4"
"98","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 3 one-dollar bills, 1 quarters, 0 dimes, 3 nickels, and 4 pennies?","$3.34","$3.54","$0.11","$3.44","35","4"
"99","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 4 one-dollar bills, 2 quarters, 2 dimes, 1 nickels, and 1 pennies?","$4.86","$4.66","$4.76","$0.10","35","3"
"100","Concept: The value of money is found by adding the value of each bill and coin. Question: What is the total value of 5 one-dollar bills, 3 quarters, 1 dimes, 0 nickels, and 2 pennies?","$5.87","$5.77","$0.11","$5.97","35","1"
"101","Concept: Multiplication finds the total in equal groups. Question: There are 6 groups with 2 stickers in each group. How many stickers are there in all?","14","12","8","4","35","2"
"102","Concept: Multiplication finds the total in equal groups. Question: There are 8 groups with 6 marbles in each group. How many marbles are there in all?","54","14","48","2","35","3"
"103","Concept: Multiplication finds the total in equal groups. Question: There are 6 groups with 2 toy cars in each group. How many toy cars are there in all?","8","4","12","14","35","3"
"104","Concept: Multiplication finds the total in equal groups. Question: There are 5 groups with 2 books in each group. How many books are there in all?","12","7","10","3","35","3"
"105","Concept: Multiplication finds the total in equal groups. Question: There are 6 groups with 6 crayons in each group. How many crayons are there in all?","42","12","0","36","35","4"
"106","Concept: Multiplication finds the total in equal groups. Question: There are 9 groups with 4 shells in each group. How many shells are there in all?","36","40","5","13","35","1"
"107","Concept: Multiplication finds the total in equal groups. Question: There are 4 groups with 8 balloons in each group. How many balloons are there in all?","4","32","12","40","35","2"
"108","Concept: Multiplication finds the total in equal groups. Question: There are 9 groups with 2 cards in each group. How many cards are there in all?","20","7","11","18","35","4"
"109","Concept: Multiplication finds the total in equal groups. Question: There are 6 groups with 3 beads in each group. How many beads are there in all?","18","9","21","3","35","1"
"110","Concept: Multiplication finds the total in equal groups. Question: There are 8 groups with 9 flowers in each group. How many flowers are there in all?","81","1","72","17","35","3"
"111","Concept: Multiplication finds the total in equal groups. Question: There are 9 groups with 4 pencils in each group. How many pencils are there in all?","40","36","13","5","35","2"
"112","Concept: Multiplication finds the total in equal groups. Question: There are 5 groups with 8 cookies in each group. How many cookies are there in all?","40","3","48","13","35","1"
"113","Concept: An array uses rows and columns to show multiplication. Question: An array has 2 rows with 8 objects in each row. Which equation matches the array?","2 x 8 = 16","2 + 8 = 10","2 + 8 = 16","2 x 8 = 18","35","1"
"114","Concept: An array uses rows and columns to show multiplication. Question: An array has 5 rows with 6 objects in each row. Which equation matches the array?","5 + 6 = 30","5 x 6 = 30","5 x 6 = 35","5 + 6 = 11","35","2"
"115","Concept: An array uses rows and columns to show multiplication. Question: An array has 7 rows with 5 objects in each row. Which equation matches the array?","7 + 5 = 12","7 + 5 = 35","7 x 5 = 35","7 x 5 = 42","35","3"
"116","Concept: An array uses rows and columns to show multiplication. Question: An array has 4 rows with 2 objects in each row. Which equation matches the array?","4 + 2 = 6","4 + 2 = 8","4 x 2 = 12","4 x 2 = 8","35","4"
"117","Concept: An array uses rows and columns to show multiplication. Question: An array has 6 rows with 4 objects in each row. Which equation matches the array?","6 x 4 = 24","6 x 4 = 30","6 + 4 = 24","6 + 4 = 10","35","1"
"118","Concept: An array uses rows and columns to show multiplication. Question: An array has 2 rows with 2 objects in each row. Which equation matches the array?","2 + 2 = 4","2 x 2 = 4","2 + 2 = 4","2 x 2 = 6","35","2"
"119","Concept: An array uses rows and columns to show multiplication. Question: An array has 3 rows with 4 objects in each row. Which equation matches the array?","3 x 4 = 12","3 + 4 = 12","3 + 4 = 7","3 x 4 = 15","35","1"
"120","Concept: An array uses rows and columns to show multiplication. Question: An array has 4 rows with 6 objects in each row. Which equation matches the array?","4 x 6 = 28","4 + 6 = 10","4 x 6 = 24","4 + 6 = 24","35","3"
"121","Concept: Division can show equal sharing. Question: 36 crackers are shared equally among 4 students. How many crackers does each student get?","11","4","9","36","35","3"
"122","Concept: Division can show equal sharing. Question: 15 markers are shared equally among 5 students. How many markers does each student get?","5","3","1","15","35","2"
"123","Concept: Division can show equal sharing. Question: 14 shells are shared equally among 2 students. How many shells does each student get?","2","7","14","9","35","2"
"124","Concept: Division can show equal sharing. Question: 10 apples are shared equally among 5 students. How many apples does each student get?","4","5","10","2","35","4"
"125","Concept: Division can show equal sharing. Question: 15 cards are shared equally among 5 students. How many cards does each student get?","1","5","15","3","35","4"
"126","Concept: Division can show equal sharing. Question: 20 cubes are shared equally among 5 students. How many cubes does each student get?","20","6","4","5","35","3"
"127","Concept: Division can show equal sharing. Question: 54 flowers are shared equally among 6 students. How many flowers does each student get?","9","6","11","54","35","1"
"128","Concept: Division can show equal sharing. Question: 56 buttons are shared equally among 7 students. How many buttons does each student get?","7","10","56","8","35","4"
"129","Concept: Division can show equal sharing. Question: 40 erasers are shared equally among 8 students. How many erasers does each student get?","8","5","7","40","35","2"
"130","Concept: Division can show equal sharing. Question: 16 beads are shared equally among 8 students. How many beads does each student get?","2","16","8","4","35","1"
"131","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? 3 x __ = 27","9","10","3","27","30","1"
"132","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? __ x 4 = 28","4","28","7","8","30","3"
"133","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? 8 x __ = 24","8","4","3","24","30","3"
"134","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? __ x 5 = 20","6","5","20","4","30","4"
"135","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? 7 x __ = 42","8","6","42","7","30","2"
"136","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? __ x 7 = 63","10","63","9","7","30","3"
"137","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? 7 x __ = 49","7","49","9","8","30","1"
"138","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? __ x 5 = 25","6","7","25","5","30","4"
"139","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? 5 x __ = 15","15","3","4","5","30","2"
"140","Concept: A missing factor can be found using multiplication facts. Question: What number makes the equation true? __ x 8 = 48","7","48","6","8","30","3"
"141","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 6 stickers. Ava has 4 times as many stickers as Leo. How many stickers does Ava have?","10","4","30","24","35","4"
"142","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 7 books. Ava has 2 times as many books as Leo. How many books does Ava have?","21","14","9","2","35","2"
"143","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 2 toy cars. Ava has 4 times as many toy cars as Leo. How many toy cars does Ava have?","6","4","10","8","35","4"
"144","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 2 marbles. Ava has 5 times as many marbles as Leo. How many marbles does Ava have?","10","12","5","7","35","1"
"145","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 4 cookies. Ava has 4 times as many cookies as Leo. How many cookies does Ava have?","16","20","8","4","35","1"
"146","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 8 shells. Ava has 4 times as many shells as Leo. How many shells does Ava have?","4","32","12","40","35","2"
"147","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 9 baseball cards. Ava has 2 times as many baseball cards as Leo. How many baseball cards does Ava have?","2","18","27","11","35","2"
"148","Concept: A multiplicative comparison tells how many times as many one amount is as another. Question: Leo has 7 flowers. Ava has 5 times as many flowers as Leo. How many flowers does Ava have?","35","5","12","42","35","1"
"149","Concept: An even number can be split into 2 equal groups with none left over. Question: Which number is even?","4","9","7","2","20","1"
"150","Concept: An even number can be split into 2 equal groups with none left over. Question: Which number is even?","2","4","9","7","20","1"
"151","Concept: An even number can be split into 2 equal groups with none left over. Question: Which number is even?","2","4","9","7","20","2"
"152","Concept: An odd number has 1 left over when it is split into 2 equal groups. Question: Which number is odd?","5","8","12","3","20","4"
"153","Concept: An odd number has 1 left over when it is split into 2 equal groups. Question: Which number is odd?","8","3","12","5","20","4"
"154","Concept: An odd number has 1 left over when it is split into 2 equal groups. Question: Which number is odd?","12","3","5","8","20","2"
"155","Concept: A number-pair table can show a rule between input and output. Question: A table follows the rule multiply by 7. If the input numbers 3, 5, and 7 have outputs 21, 35, and 49, what is the output for input 8?","15","49","64","56","35","4"
"156","Concept: A number-pair table can show a rule between input and output. Question: A table follows the rule multiply by 8. If the input numbers 5, 7, and 9 have outputs 40, 56, and 72, what is the output for input 10?","72","80","18","90","35","2"
"157","Concept: A number-pair table can show a rule between input and output. Question: A table follows the rule multiply by 9. If the input numbers 6, 8, and 10 have outputs 54, 72, and 90, what is the output for input 11?","20","110","99","90","35","3"
"158","Concept: A number-pair table can show a rule between input and output. Question: A table follows the rule multiply by 3. If the input numbers 4, 6, and 8 have outputs 12, 18, and 24, what is the output for input 9?","12","24","36","27","35","4"
"159","Concept: A number-pair table can show a rule between input and output. Question: A table follows the rule multiply by 5. If the input numbers 3, 5, and 7 have outputs 15, 25, and 35, what is the output for input 8?","48","13","40","35","35","3"
"160","Concept: A number-pair table can show a rule between input and output. Question: A table follows the rule multiply by 8. If the input numbers 5, 7, and 9 have outputs 40, 56, and 72, what is the output for input 10?","72","18","90","80","35","4"
"161","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 5 equal parts?","1/5","2/5","1/6","5/5","30","1"
"162","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 2 equal parts?","2/3","1/2","1/3","2/2","30","2"
"163","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 7 equal parts?","2/7","7/7","1/8","1/7","30","4"
"164","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 7 equal parts?","7/7","1/7","2/7","1/8","30","2"
"165","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 2 equal parts?","1/3","2/3","1/2","2/2","30","3"
"166","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 5 equal parts?","1/5","2/5","5/5","1/6","30","1"
"167","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 4 equal parts?","1/5","1/4","4/4","2/4","30","2"
"168","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 2 equal parts?","1/3","2/2","1/2","2/3","30","3"
"169","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 7 equal parts?","2/7","7/7","1/7","1/8","30","3"
"170","Concept: A unit fraction names 1 equal part of a whole. Question: Which fraction names 1 part when a whole is divided into 5 equal parts?","1/6","5/5","1/5","2/5","30","3"
"171","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 4 equal parts and 2 parts are shaded. Which fraction names the shaded part?","3/4","2/4","2/5","4/2","30","2"
"172","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 3 equal parts and 1 parts are shaded. Which fraction names the shaded part?","3/1","1/3","1/4","2/3","30","2"
"173","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 6 equal parts and 5 parts are shaded. Which fraction names the shaded part?","5/7","6/5","6/6","5/6","30","4"
"174","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 5 equal parts and 4 parts are shaded. Which fraction names the shaded part?","5/5","4/6","5/4","4/5","30","4"
"175","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 3 equal parts and 1 parts are shaded. Which fraction names the shaded part?","2/3","1/4","3/1","1/3","30","4"
"176","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 4 equal parts and 1 parts are shaded. Which fraction names the shaded part?","1/4","1/5","4/1","2/4","30","1"
"177","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 6 equal parts and 4 parts are shaded. Which fraction names the shaded part?","4/7","6/4","4/6","5/6","30","3"
"178","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 5 equal parts and 2 parts are shaded. Which fraction names the shaded part?","5/2","2/5","2/6","3/5","30","2"
"179","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 7 equal parts and 6 parts are shaded. Which fraction names the shaded part?","7/6","6/8","6/7","7/7","30","3"
"180","Concept: A fraction tells how many equal parts are being described. Question: A shape is split into 4 equal parts and 2 parts are shaded. Which fraction names the shaded part?","3/4","2/4","2/5","4/2","30","2"
"181","Concept: Fractions can be located on a number line between 0 and 1. Question: A number line from 0 to 1 is divided into 8 equal parts. What fraction names the 1st mark after 0?","8/8","1/2","2/8","1/8","30","4"
"182","Concept: Fractions can be located on a number line between 0 and 1. Question: A number line from 0 to 1 is divided into 6 equal parts. What fraction names the 4th mark after 0?","1/6","5/6","4/6","6/6","30","3"
"183","Concept: Fractions can be located on a number line between 0 and 1. Question: A number line from 0 to 1 is divided into 5 equal parts. What fraction names the 3rd mark after 0?","1/5","3/5","5/5","4/5","30","2"
"184","Concept: Fractions can be located on a number line between 0 and 1. Question: A number line from 0 to 1 is divided into 4 equal parts. What fraction names the 1st mark after 0?","1/4","4/4","2/4","1/2","30","1"
"185","Concept: Fractions can be located on a number line between 0 and 1. Question: A number line from 0 to 1 is divided into 3 equal parts. What fraction names the 2nd mark after 0?","1/2","1/3","2/3","3/3","30","3"
"186","Concept: Equivalent fractions name the same amount even when the numbers look different. Question: Which fraction is equivalent to 1/2?","1/4","2/4","2/3","3/4","30","2"
"187","Concept: Equivalent fractions name the same amount even when the numbers look different. Question: Which fraction is equivalent to 1/3?","2/6","3/6","1/2","1/6","30","1"
"188","Concept: Equivalent fractions name the same amount even when the numbers look different. Question: Which fraction is equivalent to 2/3?","1/2","4/6","3/6","2/6","30","2"
"189","Concept: Equivalent fractions name the same amount even when the numbers look different. Question: Which fraction is equivalent to 1/4?","1/2","3/8","2/8","1/8","30","3"
