"Question #","Question Text","Answer 1","Answer 2","Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)"
"17","Concept: Informational text teaches readers with facts. Question: Which sentence is most likely from informational text?","The dragon guarded a silver key.","Once the moon smiled at the boy.","Maya wished the clouds could talk.","Froghoppers can jump many times their body length.","35","4"
"18","Concept: The central idea is the main point of a text. Question: Which sentence best states a central idea for an article about school gardens?","Gardens have soil, seeds, and tools.","The class planted seeds on Tuesday.","One student wore green gloves.","Students can learn responsibility by caring for plants.","40","4"
"19","Concept: A simile compares two things using like or as. Question: Which sentence uses a simile?","The rabbit was as quick as lightning.","The bee buzzed past my ear.","The stars danced above us.","The wind whispered at night.","35","1"
"20","Concept: Onomatopoeia sounds like the noise it names. Question: Which word is onomatopoeia?","giant","smooth","buzz","silent","35","3"
"21","Concept: Authors write to inform, entertain, or persuade. Question: An author writes an article explaining how frogs jump. What is the author's purpose?","to persuade","to entertain","to inform","to confuse","35","3"
"22","Concept: Text features help readers understand information quickly. Question: Which text feature would best help a reader compare how far animals jump?","a dialogue line","a chapter title","a graph","a character map","35","3"
"23","Concept: Use context clues to understand feelings. Question: In the sentence ""The timid mouse hid behind the box,"" what does timid mean?","hungry","shy","brave","noisy","35","2"
"24","Concept: Context clues help readers understand action words. Question: In the sentence ""Nia sprinted to the bus stop,"" what does sprinted mean?","ran fast","looked around","walked slowly","sat down","35","1"
"25","Concept: Context clues can reveal size words. Question: In the sentence ""An enormous whale swam past the boat,"" what does enormous mean?","very quiet","very large","very young","very shiny","35","2"
"26","Concept: Context clues can reveal feelings. Question: In the sentence ""Lena felt grateful after her friend helped her,"" what does grateful mean?","thankful","confused","sleepy","angry","35","1"
"27","Concept: Context clues explain time words. Question: In the sentence ""The ancient castle stood on the hill for hundreds of years,"" what does ancient mean?","very clean","very loud","very old","very small","35","3"
"28","Concept: Context clues explain how things feel or break. Question: In the sentence ""Be careful with the fragile glass,"" what does fragile mean?","fun to use","easy to break","hard to lift","easy to wash","35","2"
"29","Concept: Context clues reveal physical states. Question: In the sentence ""After the long hike, Mateo was exhausted,"" what does exhausted mean?","very tired","very quiet","very brave","very hungry","35","1"
"30","Concept: Context clues show what a person wants to know. Question: In the sentence ""The curious child opened the book to learn more,"" what does curious mean?","easy to please","ready to sleep","hard to find","wanting to know more","35","4"
"31","Concept: Context clues help readers understand group actions. Question: In the sentence ""The students gathered by the door,"" what does gathered mean?","looked up","ran apart","came together","fell asleep","35","3"
"32","Concept: Context clues help readers understand quick actions. Question: In the sentence ""Owen glanced at the clock before class,"" what does glanced mean?","talked about","slept beside","looked quickly","carried away","35","3"
"33","Concept: Context clues explain describing words. Question: In the sentence ""The sturdy table did not wobble,"" what does sturdy mean?","silent","tiny","strong","messy","35","3"
"34","Concept: Context clues explain action words. Question: In the sentence ""The rainbow vanished when the rain stopped,"" what does vanished mean?","shook","appeared","disappeared","shined","35","3"
"35","Concept: Context clues can show mood. Question: In the sentence ""The cheerful crowd clapped and smiled,"" what does cheerful mean?","slow","careful","angry","happy","35","4"
"36","Concept: Context clues help readers understand how someone speaks. Question: In the sentence ""Dad murmured so the baby could sleep,"" what does murmured mean?","waved happily","ran quickly","laughed loudly","spoke softly","35","4"
"37","Concept: Context clues explain helpful actions. Question: In the sentence ""Firefighters came to rescue the kitten,"" what does rescue mean?","save from danger","call for dinner","paint carefully","move in circles","35","1"
"38","Concept: Context clues explain how people feel about others. Question: In the sentence ""Tia admired the artist's work,"" what does admired mean?","forgot all about","pushed away quickly","hid from quietly","looked at with respect","35","4"
"39","Concept: Context clues help readers understand readiness. Question: In the sentence ""The players were eager to begin the game,"" what does eager mean?","upset and worried","too tired to move","excited and ready","unsure what to do","35","3"
"40","Concept: Context clues can show what is common. Question: In the sentence ""It was an ordinary day at school,"" what does ordinary mean?","dangerous","expensive","plain","magical","35","3"
"41","Concept: Context clues help readers understand noticing. Question: In the sentence ""Mila noticed a bird on the fence,"" what does noticed mean?","saw","built","dropped","borrowed","35","1"
"42","Concept: Context clues explain size and shape words. Question: In the sentence ""The narrow path fit only one hiker,"" what does narrow mean?","easy to climb","full of light","very rough","not wide","35","4"
"43","Concept: Context clues explain feelings after a problem ends. Question: In the sentence ""Ava felt relieved when she found her lost shoe,"" what does relieved mean?","ready for lunch","glad a problem ended","angry at a friend","excited to travel","35","2"
"44","Concept: Context clues explain body feelings. Question: In the sentence ""The baby became drowsy after the car ride,"" what does drowsy mean?","helpful","playful","sleepy","thirsty","35","3"
"45","Concept: Context clues help readers understand value words. Question: In the sentence ""Grandma kept the precious photo in a box,"" what does precious mean?","very heavy","very wet","very valuable","very bright","35","3"
"46","Concept: Context clues explain speed. Question: In the sentence ""The swift rabbit crossed the field in seconds,"" what does swift mean?","fast","smooth","careless","shy","35","1"
"47","Concept: Context clues explain careful behavior. Question: In the sentence ""Be cautious near the slippery rocks,"" what does cautious mean?","careful","curious","careless","happy","35","1"
"48","Concept: Context clues explain permission words. Question: In the sentence ""Mom said I may go, so she will permit the trip,"" what does permit mean?","measure","delay","forget","allow","35","4"
"49","Concept: Context clues explain confusion. Question: In the sentence ""Jay looked puzzled by the riddle,"" what does puzzled mean?","cheerful","careful","confused","brave","35","3"
"50","Concept: Context clues explain sound words. Question: In the sentence ""The shout echoed through the canyon,"" what does echoed mean?","stopped all at once","made a repeated sound","sang a happy song","faded away softly","35","2"
"51","Concept: The suffix -less means without. Question: What does careless mean?","not able to care","full of care","without care","care before","35","3"
"52","Concept: The suffix -less means without. Question: What does powerless mean?","power again","without power","full of power","before power","35","2"
"53","Concept: The suffix -y can mean full of. Question: What does windy mean?","full of wind","without wind","before wind","moving like wind","35","1"
"54","Concept: The suffix -y can mean full of. Question: What does snowy mean?","snow again","before snow","without snow","full of snow","35","4"
"55","Concept: The suffix -y can mean full of. Question: What does rocky mean?","without rocks","full of rocks","under rocks","before rocks","35","2"
"56","Concept: The suffix -ness names a state or condition. Question: What does darkness mean?","full of dark","before dark","the state of being dark","not dark","35","3"
"57","Concept: The suffix -ness names a state or condition. Question: What does kindness mean?","the state of being kind","full of kinds","not kind","before kind","35","1"
"58","Concept: The suffix -ness names a state or condition. Question: What does sickness mean?","not sick","full of medicine","the state of being sick","before sickness","35","3"
"59","Concept: The prefix dis- often means not. Question: What does dishonest mean?","honest again","not honest","honest before","very honest","35","2"
"60","Concept: The prefix dis- often means not. Question: What does disagree mean?","agree later","not agree","agree strongly","agree before","35","2"
"61","Concept: The prefix in- often means not. Question: What does inactive mean?","active again","active before","not active","very active","35","3"
"62","Concept: The prefix in- often means not. Question: What does invisible mean?","seen before","not visible","easy to see","very visible","35","2"
"63","Concept: The prefix non- means not. Question: What does nonfiction mean?","before fiction","not fiction","full of fiction","fiction again","35","2"
"64","Concept: The prefix non- means not. Question: What does nonstop mean?","without stopping","before stopping","stopping again","able to stop","35","1"
"65","Concept: The prefix pre- means before. Question: What does preview mean?","to view without","to view after","to view slowly","to view before","35","4"
"66","Concept: The prefix pre- means before. Question: What does preheat mean?","to heat before","to heat after","to heat again","to heat without","35","1"
"67","Concept: The prefix im- often means not. Question: What does impossible mean?","very possible","possible before","possible again","not possible","35","4"
"68","Concept: The suffix -ful means full of. Question: What does hopeful mean?","hope again","full of hope","before hope","without hope","35","2"
"69","Concept: The suffix -y can mean full of. Question: What does rainy mean?","without rain","like rain later","full of rain","before rain","35","3"
"70","Concept: The suffix -less means without. Question: What does fearless mean?","without fear","full of fear","fear again","fear before","35","1"
"71","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for rapid?","silent","careful","sleepy","quick","35","4"
"72","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of enormous?","giant","huge","wide","tiny","35","4"
"73","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for silent?","bright","quiet","rough","loud","35","2"
"74","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of empty?","full","hollow","blank","open","35","1"
"75","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for begin?","start","hide","rest","finish","35","1"
"76","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of early?","late","ready","fast","small","35","1"
"77","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for choose?","pick","measure","drop","climb","35","1"
"78","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of ancient?","new","broken","hidden","old","35","1"
"79","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for repair?","wrap","carry","point","fix","35","4"
"80","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of rough?","plain","smooth","dusty","sharp","35","2"
"81","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for tiny?","wild","noisy","heavy","small","35","4"
"82","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of noisy?","bright","muddy","quiet","crowded","35","3"
"83","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for glad?","tired","plain","sharp","happy","35","4"
"84","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of safe?","simple","dangerous","calm","quiet","35","2"
"85","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for purchase?","lose","hide","buy","paint","35","3"
"86","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of above?","through","near","below","behind","35","3"
"87","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for clever?","silent","slow","plain","smart","35","4"
"88","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of lazy?","shy","sleepy","curious","active","35","4"
"89","Concept: A synonym has almost the same meaning. Question: Which word is a synonym for reply?","question","window","answer","picture","35","3"
"90","Concept: An antonym is the opposite of a word. Question: Which word is an antonym of strong?","weak","brave","sturdy","solid","35","1"
"91","Concept: Some words have more than one meaning. Question: In the sentence ""They sat on the bank of the river,"" what does bank mean?","a place for money","a row of chairs","the edge of land by water","a pile of snow","40","3"
"92","Concept: Some words have more than one meaning. Question: In the sentence ""The bark on the tree felt rough,"" what does bark mean?","the sound a dog makes","the outer covering of a tree","a quick jump","a kind of leaf","40","2"
"93","Concept: Some words have more than one meaning. Question: In the sentence ""This backpack is light,"" what does light mean?","a lamp","a flash in the sky","not heavy","bright fire","40","3"
"94","Concept: Some words have more than one meaning. Question: In the sentence ""A bat flew out of the cave,"" what does bat mean?","a flying mammal","a small boat","a kind of hat","sports equipment","40","1"
"95","Concept: Some words have more than one meaning. Question: In the sentence ""Flowers bloom in spring,"" what does spring mean?","a quick jump","a metal coil","a season","a deep well","40","3"
"96","Concept: Some words have more than one meaning. Question: In the sentence ""The traffic jam made us late,"" what does jam mean?","fruit spread","cars stuck together","a sharp tool","a song","40","2"
"97","Concept: Some words have more than one meaning. Question: In the sentence ""What kind of bird is that?"" what does kind mean?","a type","nice behavior","a loud sound","a small gift","40","1"
"98","Concept: Some words have more than one meaning. Question: In the sentence ""Watch the turtle cross the path,"" what does watch mean?","to turn around","to fix something","to look carefully","a timepiece","40","3"
"99","Concept: Some words have more than one meaning. Question: In the sentence ""We heard the ring of the bell,"" what does ring mean?","a piece of jewelry","a game","a circular mark","a sound","40","4"
"100","Concept: Some words have more than one meaning. Question: In the sentence ""The teacher made a fair rule,"" what does fair mean?","windy","a carnival","just","light-colored","40","3"
"101","Concept: Some words have more than one meaning. Question: In the sentence ""Be careful not to trip on the rug,"" what does trip mean?","a journey","a kind of shoe","to clap loudly","to stumble","40","4"
"102","Concept: Some words have more than one meaning. Question: In the sentence ""These socks match,"" what does match mean?","to smell alike","a stick for fire","to go together","a sports game","40","3"
"103","Concept: Some words have more than one meaning. Question: In the sentence ""Duck when the ball comes close!"" what does duck mean?","a bird","to swim slowly","to lower your head","to call for help","40","3"
"104","Concept: Some words have more than one meaning. Question: In the sentence ""Please seal the box,"" what does seal mean?","an ocean animal","to draw a circle","to close tightly","to carry outside","40","3"
"105","Concept: Some words have more than one meaning. Question: In the sentence ""Mom left a note on the table,"" what does note mean?","a shiny coin","a warm blanket","a loud song","a short message","40","4"
"106","Concept: Genre clues help readers identify story types. Question: Which sentence is most likely from realistic fiction?","Jordan forgot his backpack on the bus.","The moon asked the owl for directions.","A dragon guarded the cloudy mountain.","A giant pencil wrote its own homework.","35","1"
"107","Concept: Genre clues help readers identify fantasy. Question: Which sentence is most likely from fantasy?","Mina planted beans in the garden.","Dad fixed the squeaky door.","The class lined up for lunch.","A dragon guarded the bridge.","35","4"
"108","Concept: A biography tells the true story of a real person. Question: Which book is most likely a biography?","The Life of Jane Goodall","The Dragon's Secret Cave","How to Build a Birdhouse","Poems for Rainy Days","35","1"
"109","Concept: In a drama, characters speak the lines. Question: In a play, who says the words before each line?","the headings","the pictures","the captions","the characters","35","4"
"110","Concept: Stage directions tell actors what to do. Question: What is the purpose of stage directions in a play?","to show the glossary words","to explain the author's life","to list the page numbers","to tell actors how to move or speak","35","4"
"111","Concept: Poetry often uses short lines and rhythm. Question: Which feature is common in poetry?","recipe steps","short lines","chapter titles only","numbered directions","35","2"
"112","Concept: Authors write to inform, entertain, or persuade. Question: An article explains how whales breathe. What is the author's purpose?","to inform","to confuse","to persuade","to entertain","35","1"
"113","Concept: Authors sometimes try to persuade readers. Question: A poster says, ""Bring a reusable bottle every day!"" What is the author's purpose?","to retell a folktale","to entertain","to inform only","to persuade","35","4"
"114","Concept: Authors write stories to entertain readers. Question: A funny story about a squirrel on roller skates is written mainly -","to entertain","to give directions","to persuade","to inform","35","1"
"115","Concept: The central idea is the main point of a text. Question: Which sentence best states a central idea for an article about recycling?","One can rolled across the floor.","Recycling helps reduce trash and reuse materials.","Some bins are blue and some are green.","The truck came on Thursday morning.","40","2"
"116","Concept: Supporting details help prove the central idea. Question: Which detail best supports the idea that bees help plants grow?","Bees carry pollen from flower to flower.","Some bees live near gardens.","A bee has six legs.","Bees can be yellow and black.","40","1"
"117","Concept: Captions help explain pictures. Question: What is the purpose of a caption?","to list the author's hobbies","to show the answer key","to start a new chapter","to explain a picture","35","4"
"118","Concept: Headings tell what a section is about. Question: What is the purpose of a heading in informational text?","to explain a simile","to tell what a section is mostly about","to name each character","to show who wins the story","35","2"
"119","Concept: Diagrams help readers understand parts. Question: Which text feature best shows the parts of a plant?","a dialogue line","a chapter title","a poem","a diagram","35","4"
"120","Concept: A simile compares two things using like or as. Question: Which sentence uses a simile?","The kitten purred near the window.","The kitten was as soft as a cloud.","The kitten slept on the rug.","The kitten chased a string.","35","2"
"121","Concept: Onomatopoeia sounds like the noise it names. Question: Which word is onomatopoeia?","clang","silent","gentle","bright","35","1"
"122","Concept: A timeline shows events in time order. Question: Which text feature would best show the order of events in Harriet Tubman's life?","a pie chart","a glossary","a timeline","a caption","35","3"
"123","Concept: Theme is the lesson or message of a story. Question: A story shows Maya practicing jump rope every day until she can do new tricks. Which theme best fits the story?","Rainy days last forever.","Pets should stay indoors.","People should never ask for help.","Practice can help people improve.","40","4"
"124","Concept: Theme is the lesson or message of a story. Question: In a story, two neighbors work together to clean a park and become friends. Which theme best fits the story?","Teamwork can help people solve problems.","Every park needs taller trees.","Neighbors should stay quiet.","Cleaning is harder than planting.","40","1"
"125","Concept: Theme is different from topic. Question: Which answer is a theme instead of just a topic?","sports","Being honest builds trust.","school","friendship","40","2"
"126","Concept: Theme tells what a reader can learn from a story. Question: A character admits breaking a lamp and then feels proud for telling the truth. Which theme best fits the story?","Homes need brighter lights.","Mistakes never happen.","Lamps cost too much.","Truthfulness matters.","40","4"
"127","Concept: Theme tells an important lesson. Question: A runner loses one race but keeps training and wins later. Which theme best fits the story?","Trying again can lead to success.","Giving up saves time.","Winning matters more than effort.","Running is easy for everyone.","40","1"
"128","Concept: Theme tells what a story teaches. Question: A girl is nervous to sing on stage, but she takes a deep breath and tries. Which theme best fits the story?","People sing best when alone.","Courage can help people face fears.","Stages are hard to build.","Music should always be quiet.","40","2"
"129","Concept: Theme can be shown by actions and results. Question: A boy rushes through a model airplane, and it falls apart. He rebuilds it slowly and it works. Which theme best fits the story?","Mistakes should be hidden.","Glue dries too slowly.","Airplanes are hard to paint.","Patience can lead to better results.","40","4"
"130","Concept: Theme tells a lesson readers can use. Question: A class welcomes a new student and helps her learn the routines. Which theme best fits the story?","Classrooms should be larger.","Kindness helps others feel included.","New students are always shy.","Schools need more rules.","40","2"
"131","Concept: Theme can be shown by actions and responsibility. Question: A child keeps a promise to water a neighbor's plants every day. Which theme best fits the story?","Plants need sunlight and water.","Summer days feel long.","Neighbors should travel often.","Responsibility means doing what you said you would do.","40","4"
"132","Concept: Theme often comes from what a character learns. Question: A brother laughs at his sister's idea, then sees it work and apologizes. Which theme best fits the story?","Ideas are hard to explain.","Apologies are never needed.","Listening to others can be important.","Brothers should always lead.","40","3"
"133","Concept: Theme gives a lesson readers can remember. Question: A child shares lunch with a classmate who forgot theirs. Which theme best fits the story?","Lunch should be eaten quickly.","Sharing can show care for others.","School days need longer breaks.","Food tastes better outdoors.","40","2"
"134","Concept: Theme is the deeper message of a story. Question: A gardener waits many weeks for seeds to sprout and keeps caring for them. Which theme best fits the story?","Plants should be moved often.","Good things can take time.","Seeds grow best in winter.","Gardens need bigger tools.","40","2"
"135","Concept: Character relationships show how people feel and act toward each other. Question: A girl watches her aunt fix bikes and asks to learn too. Which statement best describes their relationship?","The girl hopes to learn from her aunt.","The aunt wants to avoid the girl.","The girl is annoyed by her aunt.","The aunt does not trust the girl.","40","1"
"136","Concept: Character relationships can change over time. Question: At first, Eli is upset that his brother tags along. Later, Eli smiles when his brother helps him finish the project. Which statement best describes the change?","Eli stops speaking to his brother.","Eli stays upset with his brother.","Eli forgets about the project.","Eli becomes grateful for his brother's help.","40","4"
"137","Concept: A character trait is shown by what a person says and does. Question: Nora returns a lost wallet to the office right away. Which trait best describes Nora?","careless","forgetful","selfish","honest","35","4"
"138","Concept: A character trait is shown through actions. Question: Sam checks the weather, packs water, and brings a map before a hike. Which trait best describes Sam?","jealous","prepared","impatient","bossy","35","2"
"139","Concept: Character relationships can show respect and trust. Question: Ava asks Grandpa to read her writing because she values his advice. Which statement best describes their relationship?","Ava is tired of Grandpa.","Grandpa is confused by Ava.","Ava trusts Grandpa's opinion.","Ava is hiding from Grandpa.","40","3"
"140","Concept: Readers can describe relationships using evidence from actions. Question: Two friends take turns carrying supplies during a cleanup day. Which statement best describes their relationship?","They are competing to win.","They work well as a team.","They try to avoid the task.","They do not understand each other.","40","2"
"141","Concept: Character traits can be inferred from behavior. Question: Luis stays after class to erase the board and stack chairs without being asked. Which trait best describes Luis?","helpful","rude","greedy","fearful","35","1"
"142","Concept: Character traits can be shown by choices. Question: Mei keeps practicing the same piano piece even when it sounds difficult. Which trait best describes Mei?","careless","confused","determined","lazy","35","3"
"143","Concept: Relationships show how characters feel toward one another. Question: Zoe brings soup to her sick neighbor and asks if he needs anything else. Which statement best describes Zoe's attitude?","Zoe is afraid of her neighbor.","Zoe is bored by her neighbor.","Zoe is caring toward her neighbor.","Zoe is angry at her neighbor.","40","3"
"144","Concept: A character trait can be shown by careful choices. Question: Ben reads all the directions before starting the science activity. Which trait best describes Ben?","responsible","reckless","gloomy","selfish","35","1"
"145","Concept: Character relationships can be based on admiration. Question: Tori watches the team captain encourage everyone and begins copying her kind words. Which statement best describes Tori's feelings?","Tori looks up to the captain.","Tori wants to beat the captain.","Tori is confused by the captain.","Tori avoids the captain.","40","1"
"146","Concept: Readers can tell how characters work together. Question: Omar sketches the poster while Priya writes the facts and both smile at the finished work. Which statement best describes them?","They forget the goal.","They cooperate to finish the job.","They try to work alone.","They argue over every detail.","40","2"
"147","Concept: Plot includes the problem, events, and solution. Question: In a story, a dog keeps digging up the garden. Which event best shows the conflict?","The dog digs up the new plants each morning.","The family buys flower seeds.","The rain helps the plants grow.","The children name the dog Pepper.","40","1"
"148","Concept: Plot includes a resolution that solves the problem. Question: A girl cannot reach the library book she wants. Which event best shows the resolution?","She wonders who borrowed it last.","She looks up at the shelf.","She asks a librarian for help and gets the book.","She reads the book title again.","40","3"
"149","Concept: Sequence means putting events in order. Question: Which event would most likely happen first in a story about baking cookies?","The kitchen is cleaned.","The batter is mixed in a bowl.","The family eats dessert.","The cookies cool on a rack.","35","2"
"150","Concept: Sequence helps readers follow plot. Question: Which event would most likely happen after a class plants seeds?","The students harvest vegetables.","The students sell vegetables at a fair.","The students water the soil.","The students make soup from the vegetables.","35","3"
"151","Concept: Conflict is the main problem in a story. Question: Which sentence best shows the conflict in a story about a lost kitten?","Maya hears birds in the tree.","Maya fills a bowl with water.","Maya sits on the porch steps.","Maya cannot find the kitten anywhere in the yard.","40","4"
"152","Concept: Resolution shows how the problem is solved. Question: Which event best shows the resolution to a story about a broken wagon wheel?","Grandpa repairs the wheel, and the wagon works again.","The wagon squeaks along the path.","The children stare at the wheel.","The children gather apples near the wagon.","40","1"
"153","Concept: Plot events can lead to later events. Question: Which event most likely causes a character to miss the bus?","She read a book on the couch.","She packed her backpack the night before.","She waved to a neighbor after school.","She woke up late after her alarm did not ring.","40","4"
"154","Concept: Plot shows how a problem grows. Question: Which event adds to the conflict in a story about a school play?","The audience claps loudly.","The actors bow together.","The curtain opens at the end.","The main prop breaks on rehearsal day.","40","4"
"155","Concept: Sequence can show how one event affects another. Question: Which event would most likely happen just before a soccer team wins the game?","The coach plans next week's practice.","Parents drive home from the field.","The team celebrates with juice.","A player scores the final goal.","35","4"
"156","Concept: Conflict often comes from a challenge a character must face. Question: A boy wants to enter a kite contest, but the wind keeps changing. What is the conflict?","The boy likes bright colors.","The crowd cheers for each kite.","The boy must find a way to fly the kite in tricky weather.","The contest gives out blue ribbons.","40","3"
"157","Concept: Resolution shows what happens after the problem is handled. Question: A class pet escapes from its cage. Which event best shows the resolution?","The class wonders where the pet went.","The students hear scratching nearby.","The pet hides under a shelf.","The teacher safely returns the pet to the cage.","40","4"
"158","Concept: Plot events happen in a meaningful order. Question: Which event would most likely happen last in a story about building a birdhouse?","The wood pieces are measured.","The nails are placed on the table.","The instructions are read aloud.","The birdhouse is painted and hung outside.","35","4"
"159","Concept: Conflict can come from not knowing what to do. Question: Which event best shows the conflict in a story about a spelling bee?","Lena forgets how to spell the word when it is her turn.","Lena studies her word list.","Lena smiles at her teacher.","Lena holds the microphone carefully.","40","1"
"160","Concept: Resolution solves the main story problem. Question: In a story about a torn backpack strap, which event best shows the resolution?","A neighbor sews the strap so it can be used again.","The books are heavy inside the bag.","The strap rips during recess.","The backpack falls to the ground.","40","1"
"161","Concept: Sequence helps readers see what comes next. Question: A student researches an animal, writes notes, and then makes a poster. Which event most likely comes next?","The student shares the poster with the class.","The student chooses a topic.","The student visits the library.","The student starts the notes page.","35","1"
"162","Concept: Central idea is the main point of an informational text. Question: Which sentence best states a central idea for an article about recycling at school?","One student collected cans on Friday.","Some paper is white and some is brown.","The blue bin is near the cafeteria.","Recycling helps schools reduce waste and reuse materials.","40","4"
"163","Concept: Supporting details help prove the central idea. Question: Which detail best supports the idea that exercise helps keep bodies healthy?","Some parks have benches and fountains.","Many people like blue running shoes.","A soccer ball is round.","Exercise can make hearts and muscles stronger.","40","4"
"164","Concept: Supporting details prove a key idea. Question: Which detail best supports the idea that libraries help communities?","Libraries often have brick walls.","Some libraries have two entrances.","Libraries can be near schools.","Libraries lend books and offer reading programs.","40","4"
"165","Concept: Central idea tells what most of the text is about. Question: Which sentence best states a central idea for an article about maps?","Maps help people understand where places are.","Some maps use blue for water.","One map hangs by the door.","The classroom globe is round.","40","1"
"166","Concept: Supporting details connect to the main point. Question: Which detail best supports the idea that bees help plants grow?","Bees move pollen from flower to flower.","Bees can be black and yellow.","Bees have six legs.","Some bees live in hives.","40","1"
"167","Concept: Central idea is broader than one fact. Question: Which sentence best states a central idea for an article about nocturnal animals?","The moon shines in the sky.","One bat slept in a cave.","Owls have large eyes.","Some animals are active at night for food and safety.","40","4"
"168","Concept: A supporting detail should directly match the key idea. Question: Which detail best supports the idea that sea turtles need protection?","Lights near beaches can confuse baby turtles.","Some turtles live a long time.","Sea turtles have flippers.","Many turtles are green or brown.","40","1"
"169","Concept: Central idea tells the main point of a whole section. Question: Which sentence best states a central idea for an article about community helpers?","Community helpers do different jobs that keep neighborhoods safe and healthy.","A crossing guard stands near the school.","A librarian shelves books quietly.","A firefighter wears heavy gear.","40","1"
"170","Concept: Supporting details help readers understand key ideas. Question: Which detail best supports the idea that rain forests have different layers?","Some trees have broad leaves.","Rain forests receive a lot of rain.","Some animals live high in the canopy while others live near the ground.","Many rain forests are warm.","40","3"
"171","Concept: Central idea is not just one small fact. Question: Which sentence best states a central idea for an article about compost?","A compost bin can be made of wood.","Banana peels are yellow.","Compost turns food scraps into material that helps plants grow.","Leaves fall in autumn.","40","3"
"172","Concept: Evidence can support a key idea. Question: Which detail best supports the idea that practice improves skills?","The whistle is loud at practice.","The pool water feels cold in the morning.","Many swimmers wear goggles.","A swimmer's lap times get faster after weeks of training.","40","4"
"173","Concept: Central idea is what the text mostly teaches. Question: Which sentence best states a central idea for an article about fossils?","A fossil can be found in rock.","Some fossils are very small.","Fossils give clues about plants and animals from long ago.","Scientists use brushes and tools.","40","3"
"174","Concept: Supporting details should match the main point. Question: Which detail best supports the idea that planets are different from one another?","People study planets with telescopes.","The night sky looks dark.","Stars can appear tiny.","Some planets are rocky, while others are made mostly of gas.","40","4"
